PUBCHEM_RESULT_TAG,PUBCHEM_SID,PUBCHEM_CID,PUBCHEM_EXT_DATASOURCE_SMILES,PUBCHEM_ACTIVITY_OUTCOME,PUBCHEM_ACTIVITY_SCORE,PUBCHEM_ACTIVITY_URL,PUBCHEM_ASSAYDATA_COMMENT,PCT_INHIB_DD2
RESULT_TYPE,,,,,,,,FLOAT
RESULT_DESCR,,,,,,,,Percent inhibition of P. falciparum Dd2 growth.
RESULT_UNIT,,,,,,,,PERCENT
8673,85866590,44531288,CCC(=C(CC)C1=CC(=C(C=C1)O)CNC2CCCCC2)C3=CC(=C(C=C3)O)CNC4CCCCC4.Cl,Active,,,,100
8674,85866591,44531290,C1=CC(=CC=C1N=C(N)N)OCCCCCOC2=CC=C(C=C2)N=C(N)N.Cl,Active,,,,100
8675,85866592,44531292,CCCCCC(C1=CC=C(C=C1)OCCOC2=CC=C(C=C2)C(CCCCC)NCC=C)NCC=C.Br,Inactive,,,,48
8676,85866593,44531294,CCCCN(CCCC)CC1=C(C=CC(=C1)N(C)C2=NC=C(C=C2)[N+](=O)[O-])O.C(=O)(C(=O)O)O,Active,,,,98
8677,85866594,44531296,CC1=CC(=NC(=N1)NC2=CC=C(C=C2)Cl)N(C)CCCN3CCCCC3.Cl,Active,,,,82
8678,85866595,44531298,CCCN(C1=CC(=C(C=C1)O)CN2CCCCC2)C3=NC=C(C=C3)[N+](=O)[O-].C(=O)(C(=O)O)O,Active,,,,96
8679,85866596,44531300,CCCCN(CCCC)CCCN(CCCN(CCCC)CCCC)C1=NC(=NC(=C1)C)NC2=CC=C(C=C2)Cl.C(=O)(C(=O)O)O,Active,,,,99
8680,85866597,44531302,CCN(CCCN1CCCCC1)C2=NC(=NC(=C2)C)NC3=CC=C(C=C3)Cl.Cl,Active,,,,82
8681,85866598,44531304,CCN(CC)CCCN(CCCN(CC)CC)C1=NC(=NC(=C1)C)NC2=CC=C(C=C2)Cl.C(=O)(C(=O)O)O,Inactive,,,,7
8682,85866599,44531306,C1CCC2(C1)C(C(=NC(=N2)N)N)C3=CC(=C(C=C3)Cl)Cl.Cl,Inactive,,,,3
8683,85866600,44531308,CC1(C(C(=NC(=N1)N)N)C2=CC(=C(C=C2)Cl)Cl)C.Cl,Inactive,,,,0
8684,85866601,44531310,CCCCC1=CC2C(=NC=C(C2=O)C(=O)OC)C=C1OCC3=CC=CC=C3,Active,,,,98
